hour,Glucose,Lactate,Ammonia,Glutamine,Glutamate
24,34.1926076248405,3.99644760213144,1.38592762353327,7.39017380593951,2.31088153333786
24,33.5820253458255,4.66252220248668,1.4413647284746,7.52702887641987,2.24291442941616
24,35.5247871426914,4.88454706927176,1.33049051859194,7.66388394690023,2.37884863725957
24,36.079861941796,4.77353463587922,1.33049051859194,7.39017380593951,2.44681574118127
24,36.5794292609901,4.4404973357016,1.33049051859194,7.52702887641987,2.44681574118127
30,36.1353694217064,6.32770870337478,1.66311314823993,7.66388394690023,2.37884863725957
30,36.2463843815273,5.88365896980462,1.6076760432986,7.66388394690023,2.31088153333786
30,34.6921749440346,6.1056838365897,1.66311314823993,7.52702887641987,2.31088153333786
30,32.9714430668105,4.9955595026643,1.6076760432986,7.66388394690023,2.24291442941616
30,32.0278159083327,5.66163410301954,1.6076760432986,7.39017380593951,2.17494732549446
30,31.69477102887,5.32859680284192,1.55223893835727,7.52702887641987,2.10698022157276
36,32.7494131471687,6.6607460035524,1.94029867294658,7.25331873545915,2.24291442941616
36,32.3608607877955,6.32770870337478,1.82942446306392,7.25331873545915,2.17494732549446
36,32.2498458279745,6.77175843694494,1.94029867294658,7.39017380593951,2.24291442941616
42,33.1934729864523,6.54973357015986,2.05117288282924,7.52702887641987,2.24291442941616
42,32.9159355869,5.88365896980462,2.10660998777057,7.66388394690023,2.24291442941616
42,33.0824580266314,6.21669626998224,2.10660998777057,7.52702887641987,2.24291442941616
48,32.4163682677059,7.7708703374778,2.43923261741856,7.39017380593951,2.24291442941616
48,32.1388308681536,7.88188277087034,2.43923261741856,7.39017380593951,2.24291442941616
48,33.526517865915,7.65985790408526,2.3283584075359,6.7058984535377,2.44681574118127
48,32.1943383480641,8.10390763765542,2.38379551247723,6.7058984535377,2.37884863725957
48,32.5828907074373,7.88188277087034,2.38379551247723,6.7058984535377,2.37884863725957
48,NA,NA,NA,6.56904338305734,NA
48,33.1934729864523,8.10390763765542,2.43923261741856,6.56904338305734,2.44681574118127
48,NA,NA,NA,6.29533324209662,NA
54,32.5273832275268,9.65808170515098,2.77185524706655,6.56904338305734,2.44681574118127
54,32.7494131471687,9.88010657193606,2.77185524706655,6.43218831257698,2.37884863725957
54,32.0833233882432,9.9911190053286,2.60554393224255,7.39017380593951,2.37884863725957
54,NA,NA,NA,7.52702887641987,NA
60,31.1952037096759,11.4342806394316,3.0490407717732,NA,2.37884863725957
60,31.4727411092282,11.9893428063943,3.0490407717732,6.97960859449843,2.37884863725957
66,NA,NA,NA,10.1272752155467,NA
66,29.6965017520936,9.88010657193606,3.0490407717732,7.39017380593951,2.24291442941616
66,29.9185316717354,9.88010657193606,3.0490407717732,NA,2.31088153333786
72,29.0859194730786,13.765541740675,3.65884892612784,8.89557958122349,2.31088153333786
72,NA,NA,NA,10.1272752155467,NA
72,NA,NA,NA,9.16928972218421,NA
78,NA,NA,NA,6.84275352401807,NA
78,27.8647549150486,14.5426287744227,3.88059734589316,7.93759408786096,2.24291442941616
78,NA,NA,NA,7.93759408786096,NA
84,27.309680115944,16.4298401420959,4.37953129036514,6.7058984535377,2.37884863725957
84,27.0321427163917,16.651865008881,4.37953129036514,NA,2.37884863725957
90,32.9159355869,17.7619893428064,4.82302812989579,5.74791296017517,2.58274994902467
90,32.7494131471687,17.6509769094139,4.87846523483712,6.0216231011359,2.65071705294637
90,33.3599954261837,17.6509769094139,4.87846523483712,5.33734774873409,2.71868415686808
96,26.088515557914,19.4271758436945,5.43283628425043,NA,2.51478284510297
96,NA,NA,NA,5.33734774873409,NA
96,27.3651875958545,17.2069271758437,5.04477654966111,5.06363760777337,2.31088153333786
96,27.4762025556754,16.9849023090586,5.04477654966111,5.06363760777337,2.31088153333786
96,27.5317100355858,16.8738898756661,4.98933944471978,5.06363760777337,2.31088153333786
0,35.5802946226019,NA,0.498933944471978,8.34815929930204,2.03901311765106
0,36.4129068212587,NA,0.498933944471978,8.4850143697824,2.10698022157276
0,36.4684143011692,NA,0.498933944471978,8.4850143697824,2.03901311765106
102,24.0347388012272,16.7628774422735,4.04690866071716,6.15847817161626,2.10698022157276
102,24.3677836806899,17.0959147424512,4.04690866071716,6.15847817161626,2.10698022157276
102,24.0347388012272,17.3179396092362,4.04690866071716,6.15847817161626,2.10698022157276
114,21.8144396048089,19.9822380106572,5.04477654966111,6.0216231011359,2.10698022157276
114,22.0364695244508,20.2042628774423,5.10021365460244,5.88476803065554,2.10698022157276
114,21.7589321248985,19.9822380106572,5.15565075954377,5.88476803065554,2.10698022157276
120,NA,NA,NA,5.74791296017517,NA
120,NA,NA,NA,5.74791296017517,NA
120,NA,NA,NA,5.74791296017517,NA
138,19.3721104887489,20.8703374777975,5.93177022872241,7.25331873545915,2.17494732549446
138,19.9271852878535,21.6474245115453,5.93177022872241,7.25331873545915,2.17494732549446
138,19.3721104887489,21.2033747779751,5.93177022872241,7.39017380593951,2.10698022157276
144,19.4276179686594,19.7602131438721,5.98720733366374,7.39017380593951,2.17494732549446
144,19.2055880490175,20.4262877442274,5.93177022872241,7.11646366497879,2.10698022157276
