unique_ID,replicate,ID,hour,Glucose,Lactate,Ammonia,Glutamine,Glutamate
K1par-0mMCD_90_3,3,K1par-0mMCD,90,33.526517865915,NA,1.33049051859194,NA,1.97104601372936
K1par-0mMCD_90_6,6,K1par-0mMCD,90,32.2498458279745,NA,1.4413647284746,NA,1.90307890980765
K1par-0mMCD_96_1,1,K1par-0mMCD,96,32.3608607877955,12.2113676731794,1.6076760432986,NA,2.24291442941616
K1par-0mMCD_96_3,3,K1par-0mMCD,96,31.3617261494073,6.21669626998224,1.55223893835727,NA,1.97104601372936
K1par-0mMCD_96_5,5,K1par-0mMCD,96,30.9731737900341,6.43872113676732,1.6076760432986,NA,1.90307890980765
K1par-8mMAP_0_1,1,K1par-8mMAP,0,32.4163682677059,NA,2.71641814212521,7.93759408786096,2.51478284510297
K1par-8mMAP_0_2,2,K1par-8mMAP,0,32.1943383480641,NA,2.71641814212521,7.93759408786096,2.51478284510297
K1par-8mMAP_0_4,4,K1par-8mMAP,0,32.9714430668105,NA,2.66098103718388,6.56904338305734,2.51478284510297
K1par-8mMAP_117_4,4,K1par-8mMAP,117,12.2671530602106,17.6509769094139,7.37313495719701,NA,3.19445388431999
K1par-8mMAP_117_5,5,K1par-8mMAP,117,12.1006306204793,17.8730017761989,7.37313495719701,NA,3.26242098824169
K1par-8mMAP_117_6,6,K1par-8mMAP,117,11.3790333816433,17.8730017761989,7.20682364237302,NA,3.19445388431999
K1par-8mMAP_12_1,1,K1par-8mMAP,12,32.4718757476164,NA,3.21535208659719,7.25331873545915,2.51478284510297
K1par-8mMAP_12_2,2,K1par-8mMAP,12,32.3608607877955,NA,3.21535208659719,7.11646366497879,2.51478284510297
K1par-8mMAP_12_3,3,K1par-8mMAP,12,32.3608607877955,NA,3.27078919153852,6.97960859449843,2.51478284510297
K1par-8mMAP_123_1,1,K1par-8mMAP,123,9.43627158477741,17.2069271758437,6.8187639077837,NA,3.26242098824169
K1par-8mMAP_123_2,2,K1par-8mMAP,123,9.54728654459832,16.8738898756661,6.8187639077837,NA,3.12648678039829
K1par-8mMAP_123_3,3,K1par-8mMAP,123,8.3261219865683,17.0959147424512,6.54157838307705,NA,3.19445388431999
K1par-8mMAP_143_4,4,K1par-8mMAP,143,NA,15.5417406749556,4.4904055002478,NA,3.12648678039829
K1par-8mMAP_143_5,5,K1par-8mMAP,143,NA,15.5417406749556,4.54584260518913,NA,3.19445388431999
K1par-8mMAP_143_6,6,K1par-8mMAP,143,NA,14.6536412078153,4.60127971013047,NA,3.12648678039829
K1par-8mMAP_149_1,1,K1par-8mMAP,149,NA,11.5452930728242,4.71215392001313,NA,3.33038809216339
K1par-8mMAP_149_2,2,K1par-8mMAP,149,NA,11.7673179396092,4.71215392001313,NA,3.26242098824169
K1par-8mMAP_149_3,3,K1par-8mMAP,149,NA,8.43694493783304,4.87846523483712,NA,3.39835519608509
K1par-8mMAP_167_4,4,K1par-8mMAP,167,NA,NA,6.87420101272503,0.342137676200903,3.39835519608509
K1par-8mMAP_167_5,5,K1par-8mMAP,167,NA,NA,7.04051232754903,NA,3.39835519608509
K1par-8mMAP_167_6,6,K1par-8mMAP,167,NA,NA,7.20682364237302,0.273710140960723,3.39835519608509
K1par-8mMAP_173_1,1,K1par-8mMAP,173,NA,NA,7.42857206213834,NA,3.26242098824169
K1par-8mMAP_173_2,2,K1par-8mMAP,173,NA,NA,7.539446272021,NA,3.33038809216339
K1par-8mMAP_173_3,3,K1par-8mMAP,173,NA,NA,7.76119469178633,NA,3.26242098824169
K1par-8mMAP_18_4,4,K1par-8mMAP,18,32.0278159083327,NA,3.43710050636252,6.84275352401807,2.44681574118127
K1par-8mMAP_18_5,5,K1par-8mMAP,18,32.5828907074373,NA,3.43710050636252,6.84275352401807,2.51478284510297
K1par-8mMAP_18_6,6,K1par-8mMAP,18,31.9723084284223,NA,3.49253761130385,6.97960859449843,2.51478284510297
K1par-8mMAP_24_1,1,K1par-8mMAP,24,31.3617261494073,NA,3.71428603106917,6.56904338305734,2.51478284510297
K1par-8mMAP_24_3,3,K1par-8mMAP,24,31.8612934686014,NA,3.7697231360105,6.56904338305734,2.58274994902467
K1par-8mMAP_24_5,5,K1par-8mMAP,24,32.0278159083327,2.2202486678508,3.54797471624518,5.61105788969481,2.65071705294637
K1par-8mMAP_30_2,2,K1par-8mMAP,30,30.9176663101236,3.55239786856128,3.71428603106917,5.61105788969481,2.58274994902467
K1par-8mMAP_30_6,6,K1par-8mMAP,30,32.3608607877955,3.99644760213144,3.82516024095183,6.15847817161626,2.78665126078978
K1par-8mMAP_30_7,7,K1par-8mMAP,30,33.2489804663627,4.21847246891652,3.7697231360105,5.74791296017517,2.85461836471148
K1par-8mMAP_30_8,8,K1par-8mMAP,30,33.7485477855568,3.8854351687389,3.82516024095183,NA,2.92258546863318
K1par-8mMAP_36_1,1,K1par-8mMAP,36,29.9740391516459,4.9955595026643,3.99147155577583,5.61105788969481,2.58274994902467
K1par-8mMAP_36_2,2,K1par-8mMAP,36,29.5854867922727,5.43960923623446,3.99147155577583,5.61105788969481,2.65071705294637
K1par-8mMAP_36_3,3,K1par-8mMAP,36,29.9185316717354,5.99467140319716,4.10234576565849,5.47420281921445,2.65071705294637
K1par-8mMAP_42_4,4,K1par-8mMAP,42,29.9740391516459,6.43872113676732,4.26865708048248,5.88476803065554,2.65071705294637
K1par-8mMAP_42_5,5,K1par-8mMAP,42,30.5291139507504,6.21669626998224,4.26865708048248,6.0216231011359,2.65071705294637
K1par-8mMAP_42_6,6,K1par-8mMAP,42,29.6409942721831,7.10479573712256,4.32409418542381,5.61105788969481,2.65071705294637
K1par-8mMAP_48_1,1,K1par-8mMAP,48,28.7528745936159,8.54795737122558,4.60127971013047,5.74791296017517,2.71868415686808
K1par-8mMAP_48_3,3,K1par-8mMAP,48,28.641859633795,9.54706927175844,4.71215392001313,5.61105788969481,2.71868415686808
K1par-8mMAP_48_7,7,K1par-8mMAP,48,29.3079493927204,9.65808170515098,4.60127971013047,5.61105788969481,2.85461836471148
K1par-8mMAP_48_8,8,K1par-8mMAP,48,28.7528745936159,9.10301953818828,4.6567168150718,5.61105788969481,2.71868415686808
K1par-8mMAP_48_9,9,K1par-8mMAP,48,29.6409942721831,8.8809946714032,4.60127971013047,5.88476803065554,2.71868415686808
K1par-8mMAP_54_2,2,K1par-8mMAP,54,26.9766352364813,11.3232682060391,4.76759102495446,4.37936225537156,2.71868415686808
K1par-8mMAP_54_3,3,K1par-8mMAP,54,26.8101127967499,11.9893428063943,4.93390233977845,4.2425071848912,2.71868415686808
K1par-8mMAP_54_6,6,K1par-8mMAP,54,28.530844673974,11.8783303730018,4.98933944471978,5.06363760777337,2.78665126078978
K1par-8mMAP_6_2,2,K1par-8mMAP,6,32.4718757476164,NA,2.88272945694921,6.84275352401807,2.51478284510297
K1par-8mMAP_6_3,3,K1par-8mMAP,6,31.69477102887,NA,2.88272945694921,6.56904338305734,2.51478284510297
K1par-8mMAP_6_6,6,K1par-8mMAP,6,32.8604281069896,NA,3.0490407717732,7.39017380593951,2.51478284510297
K1par-8mMAP_60_1,1,K1par-8mMAP,60,27.6982324753172,12.7664298401421,5.21108786448511,4.37936225537156,2.85461836471148
K1par-8mMAP_60_2,2,K1par-8mMAP,60,27.2541726360336,12.7664298401421,5.26652496942644,4.78992746681265,2.85461836471148
K1par-8mMAP_60_3,3,K1par-8mMAP,60,27.2541726360336,13.4325044404973,5.3773991793091,4.51621732585192,2.92258546863318
K1par-8mMAP_66_4,4,K1par-8mMAP,66,25.7554706784513,13.5435168738899,5.43283628425043,4.10565211441084,2.78665126078978
K1par-8mMAP_66_5,5,K1par-8mMAP,66,26.4770679172872,13.765541740675,5.59914759907442,3.96879704393048,2.78665126078978
K1par-8mMAP_66_6,6,K1par-8mMAP,66,25.6999631985408,14.0985790408526,5.65458470401575,4.2425071848912,2.78665126078978
K1par-8mMAP_72_2,2,K1par-8mMAP,72,24.6453210802422,14.6536412078153,5.82089601883975,3.42137676200903,2.92258546863318
K1par-8mMAP_72_4,4,K1par-8mMAP,72,25.5889482387199,14.8756660746004,5.93177022872241,3.42137676200903,2.92258546863318
K1par-8mMAP_72_6,6,K1par-8mMAP,72,24.867350999884,15.4307282415631,6.0980815435464,3.42137676200903,2.85461836471148
K1par-8mMAP_78_1,1,K1par-8mMAP,78,24.0902462811376,16.0968028419183,6.31982996331172,2.87395648008759,2.99055257255488
K1par-8mMAP_78_3,3,K1par-8mMAP,78,22.9800966829285,16.651865008881,6.48614127813572,3.14766662104831,2.99055257255488
K1par-8mMAP_78_5,5,K1par-8mMAP,78,23.9792313213167,15.9857904085258,6.31982996331172,NA,2.92258546863318
K1par-8mMAP_78_6,6,K1par-8mMAP,78,23.2576340824808,16.2078152753108,6.43070417319439,NA,2.85461836471148
K1par-8mMAP_84_1,1,K1par-8mMAP,84,22.425021883824,16.9849023090586,6.70788969790104,2.25810866292596,2.92258546863318
K1par-8mMAP_84_2,2,K1par-8mMAP,84,22.1474844842717,16.7628774422735,6.70788969790104,2.32653619816614,2.92258546863318
K1par-8mMAP_84_3,3,K1par-8mMAP,84,21.7589321248985,17.3179396092362,6.87420101272503,2.18968112768578,2.92258546863318
K1par-8mMAP_93_4,4,K1par-8mMAP,93,20.7042900065998,17.0959147424512,7.09594943249036,1.84754345148488,2.92258546863318
K1par-8mMAP_93_5,5,K1par-8mMAP,93,20.8708124463312,17.0959147424512,7.15138653743169,1.7791159162447,2.92258546863318
K1par-8mMAP_93_6,6,K1par-8mMAP,93,20.2047226874057,17.2069271758437,7.26226074731435,1.7791159162447,2.99055257255488
K1par-8mMAP_99_1,1,K1par-8mMAP,99,18.7615282097339,17.4289520426288,7.31769785225568,1.57383331052416,3.05851967647659
K1par-8mMAP_99_2,2,K1par-8mMAP,99,18.5950057700025,17.6509769094139,7.42857206213834,1.30012316956343,3.05851967647659
